date,ts_code,name,score,forward_return,mom_20d,regime,high,medium,low,mom_score,slope_score,turnover_score,strength_score,breadth_score,mf_score,score_bucket
20251215,801080.SI,电子,6.36,1.72,0.87,BULL,0,1,0,5.47,5.68,9.39,5.68440082644628,4.15,5.0,"(6.1, 6.4]"
20251215,801110.SI,家用电器,5.99,0.21,0.25,BULL,0,1,0,5.06,5.25,9.25,5.254067665289256,3.47,5.0,"(5.8, 6.1]"
20251215,801120.SI,食品饮料,5.06,0.26,-4.48,BULL,0,1,0,3.37,4.44,9.14,4.443440082644629,2.66,5.0,"(4.9, 5.2]"
20251215,801130.SI,纺织服饰,4.57,1.59,-6.49,BULL,0,0,1,2.5,4.55,7.72,4.553525309917355,1.94,5.0,"(4.4, 4.6]"
20251215,801140.SI,轻工制造,6.31,1.39,-0.19,BULL,0,1,0,5.33,5.43,9.98,5.434207128099173,3.23,5.0,"(6.1, 6.4]"
20251215,801150.SI,医药生物,4.67,0.83,-5.56,BULL,0,0,1,2.26,4.75,8.09,4.7536802685950414,1.68,5.0,"(4.6, 4.9]"
20251215,801160.SI,公用事业,5.76,-0.74,-2.92,BULL,0,1,0,4.55,4.89,9.77,4.8937887396694215,3.82,5.0,"(5.5, 5.8]"
20251215,801170.SI,交通运输,5.35,2.52,-4.62,BULL,0,1,0,3.6,4.81,9.32,4.813726756198347,2.44,5.0,"(5.2, 5.5]"
20251215,801180.SI,房地产,3.88,1.39,-11.34,BULL,0,0,1,1.44,4.19,6.74,4.193246384297521,0.62,5.0,"(3.8, 4.1]"
20251215,801200.SI,商贸零售,5.65,6.53,-3.83,BULL,0,1,0,4.73,5.06,8.48,5.063920454545454,3.85,5.0,"(5.5, 5.8]"
20251215,801210.SI,社会服务,5.03,3.0,-3.64,BULL,0,1,0,3.37,4.92,7.8,4.923811983471074,2.19,5.0,"(4.9, 5.2]"
20251215,801230.SI,综合,4.86,2.24,-6.2,BULL,0,0,1,3.45,5.17,6.17,5.1740056818181825,0.0,5.0,"(4.6, 4.9]"
20251215,801710.SI,建筑材料,5.98,0.62,-1.82,BULL,0,1,0,5.3,5.15,9.08,5.153990185950414,3.56,5.0,"(5.8, 6.1]"
20251215,801720.SI,建筑装饰,5.12,0.53,-4.8,BULL,0,1,0,3.26,4.83,8.63,4.833742252066116,2.42,5.0,"(4.9, 5.2]"
20251215,801730.SI,电力设备,5.63,-0.96,-6.46,BULL,0,1,0,4.14,4.98,9.48,4.983858471074381,5.03,5.0,"(5.5, 5.8]"
